"time", "users", "average response time", "queries Per Second", "label", "queries", "rows read", "updates", "deletes", "inserts", "interval"
64, 10, 6, 543, "Jul 29, 2013 4:02:55 PM", 543, 200482, 71, 65, 60, 1
65, 10, 7, 551, "Jul 29, 2013 4:02:57 PM", 551, 192682, 70, 67, 71, 1
66, 10, 6, 98, "Jul 29, 2013 4:02:59 PM", 98, 55488, 12, 7, 5, 1
67, 10, 0, 0, "Jul 29, 2013 4:03:01 PM", 0, 0, 0, 0, 0, 1
68, 10, 1, 138, "Jul 29, 2013 4:03:03 PM", 138, 0, 31, 35, 23, 1
69, 10, 1, 808, "Jul 29, 2013 4:03:05 PM", 808, 1, 78, 66, 68, 1
70, 10, 1, 709, "Jul 29, 2013 4:03:07 PM", 709, 0, 39, 40, 42, 1
71, 10, 2, 80, "Jul 29, 2013 4:03:09 PM", 80, 0, 3, 4, 7, 1
72, 10, 0, 0, "Jul 29, 2013 4:03:11 PM", 0, 0, 0, 0, 0, 1
73, 10, 1, 143, "Jul 29, 2013 4:03:13 PM", 143, 0, 21, 22, 26, 1
74, 10, 3, 686, "Jul 29, 2013 4:03:15 PM", 686, 157993, 89, 64, 63, 1
75, 10, 3, 670, "Jul 29, 2013 4:03:17 PM", 670, 144540, 59, 65, 65, 1
76, 10, 3, 44, "Jul 29, 2013 4:03:19 PM", 44, 14769, 6, 2, 4, 1
77, 10, 0, 0, "Jul 29, 2013 4:03:21 PM", 0, 0, 0, 0, 0, 1
78, 10, 1, 156, "Jul 29, 2013 4:03:23 PM", 156, 0, 32, 33, 29, 1
79, 10, 6, 568, "Jul 29, 2013 4:03:25 PM", 568, 191565, 60, 72, 74, 1
80, 10, 7, 514, "Jul 29, 2013 4:03:27 PM", 514, 185763, 64, 55, 83, 1
81, 10, 5, 21, "Jul 29, 2013 4:03:29 PM", 21, 13931, 1, 0, 1, 1
82, 10, 0, 0, "Jul 29, 2013 4:03:31 PM", 0, 0, 0, 0, 0, 1
83, 10, 1, 155, "Jul 29, 2013 4:03:33 PM", 155, 0, 25, 32, 32, 1
84, 10, 1, 784, "Jul 29, 2013 4:03:35 PM", 784, 0, 76, 65, 80, 1
85, 10, 1, 648, "Jul 29, 2013 4:03:37 PM", 648, 0, 43, 46, 30, 1
86, 10, 1, 13, "Jul 29, 2013 4:03:39 PM", 13, 0, 2, 1, 0, 1
87, 10, 0, 0, "Jul 29, 2013 4:03:41 PM", 0, 0, 0, 0, 0, 1
88, 10, 1, 147, "Jul 29, 2013 4:03:43 PM", 147, 0, 32, 26, 38, 1
